Episode,Total Reward,Steps,Loss
855,22,33,2.0298339146556277
856,16,16,1.9849234893918037
857,22,68,2.0188946268137764
858,360,526,1.2634886877165095
859,2,2,0.9608160555362701
860,388,523,0.753012398460855
861,16,16,0.5680806264281273
862,52,65,2.3264747307850766
863,30,67,2.371748600433122
864,52,65,1.8438539505004883
865,322,530,1.31769292230876
866,342,527,0.8599806518437062
867,310,531,0.8080851576254193
868,8,8,0.8619613125920296
869,677,1055,0.8703615110067394
870,44,66,1.0399745662104
871,84,132,0.761512532378688
872,256,536,2.2123139899835658
873,34,67,1.2956407408216106
874,16,16,1.2337745800614357
875,2,2,1.0643805861473083
876,4,4,1.2706044912338257
877,8,8,1.317411795258522
878,170,264,1.0146190012720497
879,16,16,1.0943182595074177
880,699,1053,0.8084104986328912
881,318,530,0.7908424186256696
882,44,66,3.011920538815585
883,162,265,2.263948297050764
884,22,33,1.7684488729997114
885,44,66,1.5200873631419558
886,16,16,1.328130330890417
887,22,33,1.4977748863624805
888,192,262,1.2082520661918261
889,8,8,1.0822231993079185
890,627,1061,0.9019591460297627
891,34,67,0.7191713105386762
892,94,131,3.198371124631576
893,4,4,2.1400747895240784
894,304,531,1.5709265613623258
895,82,132,1.0921992246400227
896,16,16,1.0129435285925865
897,8,8,0.7065157108008862
898,148,266,0.9262046658230904
899,16,16,0.9997533243149519
900,16,16,1.052475467324257
901,274,535,0.9256615561302577
902,42,66,3.1233487436265657
903,172,264,2.3293881048307274
904,88,132,1.89407929687789
905,2,2,1.5957785248756409
906,32,32,1.66303570009768
907,110,270,1.4218516647815704
908,68,133,1.1498248819121741
909,42,66,1.2253076325763355
910,88,132,1.006584780008504
911,4,4,1.467007428407669
912,4,4,2.9447514414787292
913,8,8,3.5204546451568604
914,22,33,3.1912291989181982
915,8,8,2.9341708719730377
916,16,16,2.6684631407260895
917,54,65,2.7417904413663425
918,42,66,2.403603454430898
919,16,16,2.2545009702444077
920,74,133,1.87515260805761
921,168,264,1.4883813858032227
922,22,33,3.27486270124262
923,6,17,2.7262731510050155
924,146,266,2.448186323158723
